filepath,filename,folder_category,inferred_category,final_category,product,arabic_name,souk_location,price_min_mad,price_max_mad,price_range,notes,width_px,height_px,size_kb,hash,annotated,annotation_file
marrakech_dataset\textiles\bing\000070.jpg,000070.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1000,662,685.4,ad2f0620d4,no,
marrakech_dataset\textiles\bing\000071.jpg,000071.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1157,361.8,ee35b7d832,no,
marrakech_dataset\textiles\bing\000072.jpg,000072.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,956,284.3,740434b52f,no,
marrakech_dataset\textiles\bing\000073.jpg,000073.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,959,387.0,443e942719,no,
marrakech_dataset\textiles\bing\000074.jpg,000074.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,1064,308.2,d9f5c3c3f3,no,
marrakech_dataset\textiles\bing\000075.jpg,000075.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,980,654,144.7,6a30ced19a,no,
marrakech_dataset\textiles\bing\000076.jpg,000076.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,867,1390,164.2,1bf34b079f,no,
marrakech_dataset\textiles\bing\000077.jpg,000077.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1024,678,200.0,89c46b229d,no,
marrakech_dataset\textiles\bing\000078.jpg,000078.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,1020,322.9,550f2cc0a6,no,
marrakech_dataset\textiles\bing\000079.jpg,000079.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,977,1390,377.1,2aee750bd1,no,
marrakech_dataset\textiles\bing\000080.jpg,000080.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,863,1390,212.5,62946a5865,no,
marrakech_dataset\textiles\bing\000081.jpg,000081.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,800,533,88.1,a9f5816d25,no,
marrakech_dataset\textiles\bing\000082.jpg,000082.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1157,318.3,9d069423fd,no,
marrakech_dataset\textiles\bing\000083.jpg,000083.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1224,1690,162.7,c2eee055e7,no,
marrakech_dataset\textiles\bing\000084.jpg,000084.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,800,600,79.1,3222274084,no,
marrakech_dataset\textiles\bing\000085.jpg,000085.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1201,292.7,d0267cecbd,no,
marrakech_dataset\textiles\bing\000086.jpg,000086.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,623,906,120.2,81dcb9dabb,no,
marrakech_dataset\textiles\bing\000087.jpg,000087.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1280,850,87.5,14f152e1ed,no,
marrakech_dataset\textiles\bing\000088.jpg,000088.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,720,482,148.7,cc4ea37001,no,
marrakech_dataset\textiles\bing\000089.jpg,000089.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,866,1390,294.8,d9aafc48dc,no,
marrakech_dataset\textiles\bing\000090.jpg,000090.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,736,552,201.7,edb37a1bf0,no,
marrakech_dataset\textiles\bing\000091.jpg,000091.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1024,768,433.5,3816c74897,no,
marrakech_dataset\textiles\bing\000092.jpg,000092.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,418,120.9,9b39b9e3e0,no,
marrakech_dataset\textiles\bing\000093.jpg,000093.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1024,707,298.1,7469e8e11c,no,
marrakech_dataset\textiles\bing\000094.jpg,000094.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1156,277.6,7864f8b087,no,
marrakech_dataset\textiles\bing\000095.jpg,000095.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,135.9,827840cd35,no,
marrakech_dataset\textiles\bing\000096.jpg,000096.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,951,216.8,751d13aa0e,no,
marrakech_dataset\textiles\bing\000097.jpg,000097.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,626,626,128.5,e428d24473,no,
marrakech_dataset\textiles\bing\000098.jpg,000098.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,951,250.5,b0db83f672,no,
marrakech_dataset\textiles\bing\000099.jpg,000099.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1600,1156,306.3,76061e6a84,no,
marrakech_dataset\textiles\bing\000100.jpg,000100.jpg,textiles,unknown,textiles,Scarf,وشاح,Souk Semmarine / Souk Ahiak,50,70,50–70 MAD,Lightweight cotton or silk blend.,1300,926,253.6,73b88fb48d,no,
marrakech_dataset\spices\bing\000001.jpg,000001.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1300,956,167.0,f326f57a63,no,
marrakech_dataset\spices\bing\000002.jpg,000002.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",800,534,81.2,9b3246f75b,no,
marrakech_dataset\spices\bing\000003.jpg,000003.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1300,956,223.1,c9875781ca,no,
marrakech_dataset\spices\bing\000004.jpg,000004.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,212.9,ef200ce860,no,
marrakech_dataset\spices\bing\000005.jpg,000005.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,226.8,35a50aa455,no,
marrakech_dataset\spices\bing\000006.jpg,000006.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,278.8,24084e8fae,no,
marrakech_dataset\spices\bing\000007.jpg,000007.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",800,534,78.8,586611d93a,no,
marrakech_dataset\spices\bing\000008.jpg,000008.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,328.0,89235adf3e,no,
marrakech_dataset\spices\bing\000009.jpg,000009.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",800,533,102.7,79d81e01ac,no,
marrakech_dataset\spices\bing\000010.jpg,000010.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,237.6,a7b9887f5c,no,
marrakech_dataset\spices\bing\000011.jpg,000011.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1300,1032,262.8,1888435904,no,
marrakech_dataset\spices\bing\000012.jpg,000012.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",800,534,80.6,7fe63cbcf3,no,
marrakech_dataset\spices\bing\000013.jpg,000013.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",626,417,104.8,d337b754b3,no,
marrakech_dataset\spices\bing\000014.jpg,000014.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",626,417,115.3,6f48b0c29c,no,
marrakech_dataset\spices\bing\000015.jpg,000015.jpg,spices,unknown,spices,Spices (per 100g),بهارات,Rahba Kedima / Souk Ableuh / Souk El Attarine,30,80,30–80 MAD,"Cumin, saffron, ras el hanout, dried rosebuds. Price by weight.",1600,1157,202.5,06e282a180,no,
